"# ","Player ","Group ","Team ","Mat ","Inns ","NO ","Runs ","4's ","6's ","50's ","100's ","HS ","SR ","Avg ","Points "
"1","Dhaivat Patel","A","Pway Lions","12","12","1","493","33","50","2","2","137","229.30","44.82","755"
"2","Monang Shah","A","Sreeshti","11","11","0","440","40","33","2","1","108","188.84","40.00","674"
"3","Calvin Dabre","B","Aryans","12","12","3","389","14","39","3","0","86","149.04","43.22","587"
"4","Ankit Chopra","B","Fdu Giants","15","15","0","363","22","28","3","0","84","135.45","24.20","501"
"5","Nirav Patel","B","Jetha 11","14","14","1","361","38","21","2","0","98","160.44","27.77","537"
"6","Naveen Byrappa","A","Desi Warriors","15","15","4","347","33","15","2","0","75","109.12","31.55","468"
"7","Dipal Patel","B","Jetha 11","14","13","2","339","15","39","4","0","82","168.66","30.82","537"
"8","Aditya Rathor","B","Veerans","14","13","1","323","12","31","3","0","71","135.15","26.92","483"
"9","Imran Raja","B","Nj Stars CC","14","14","1","315","17","29","2","0","59","136.36","24.23","464"
"10","Kamalraj Rajamanickam","B","Veerans","14","14","5","311","24","22","0","0","44","135.81","34.56","441"
"11","Naveen R Sripathi","A","Samudhra Gladiators","14","13","1","291","6","30","1","0","60","141.95","24.25","429"
"12","Aakash Patel","A","Warriors","15","14","4","290","12","31","2","0","57","160.22","29.00","457"
"13","Satya Tarun Reddy","B","Blue Aces CC","14","14","0","289","18","30","1","0","59","158.79","20.64","443"
"14","Aniket Dalal","A","Hudson Hurricanes","15","15","2","288","20","11","1","0","86","112.06","22.15","362"
"15","Baseer Ahmed Mohammed","A","RHG","13","13","2","283","25","13","2","0","72","121.46","25.73","397"
"16","Neel Patel","A","Pway Lions","13","13","1","271","18","28","2","0","76","180.67","22.58","439"
"17","Jeet Patel","A","Warriors","14","13","3","251","16","23","1","0","61","147.65","25.10","373"
"18","Rizwan Ahmed","A","PUNJAB XI","10","10","0","251","25","12","0","0","49","128.06","25.10","348"
"19","Durlove Mohanty","B","Juggernaut","13","13","0","247","23","16","1","0","68","108.81","19.00","339"
"20","Jemin Amin","A","Mercer Challengers","13","13","0","247","16","20","0","0","47","101.23","19.00","328"
"21","Chintan SR","A","Gcc","14","14","0","243","16","26","0","0","49","116.83","17.36","352"
"22","Avi Shah","A","Gujarat United XI","14","14","3","243","7","26","0","0","49","110.45","22.09","330"
"23","Gaurav Darji","A","Jersey Titans","12","12","2","242","17","16","1","0","50","82.03","24.20","302"
